taxon	lfc_(Intercept)	lfc_dietvegan	se_(Intercept)	se_dietvegan	W_(Intercept)	W_dietvegan	p_(Intercept)	p_dietvegan	q_(Intercept)	q_dietvegan	diff_(Intercept)	diff_dietvegan	passed_ss_(Intercept)	passed_ss_dietvegan	diff_robust_(Intercept)	diff_robust_dietvegan
Phocaeicola vulgatus	0.421232235605921	-1.14227753033823	0.404753351234621	0.536133073529786	1.04071339822397	-2.13058583164384	0.356775492998949	0.100141906178441	0.661084001733347	0.394308755577612	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Phocaeicola dorei	-0.507900592701105	0.715988126275826	0.671245361668657	0.757688683296844	-0.756654156147178	0.944963468585052	0.491377583911226	0.398184230965109	0.793763789395058	0.627140163770047	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Bacteroides uniformis	-0.00410272322493948	-0.291607612676505	0.330460955435431	0.6859929703676	-0.0124151527055096	-0.425088339491646	0.990688934462237	0.69264283517873	0.999457117939859	0.839621742693191	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Bacteroides thetaiotaomicron	-0.37437939183179	0.448945724537197	1.07048475089341	1.35234168922557	-0.349728841554574	0.331976547136019	0.744179248277122	0.756573609019864	0.916248891271605	0.861795807662828	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Bacteroides caccae	0.400086059958805	-1.09998517904399	0.503765166551265	0.619723985087814	0.79419159267752	-1.77495982971859	0.471540552375933	0.150566263126935	0.781764599991679	0.469654605160759	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Bacteroides fragilis	0.000649797727793975	-0.301112654581971	0.897705557855303	1.0065393772363	0.000723842825866422	-0.299156358302395	0.999457117939859	0.779720016456844	0.999457117939859	0.861795807662828	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Bacteroides xylanisolvens	0.576572163631128	-1.45295738638864	0.879578182741474	1.20378099373233	0.655509851135762	-1.20699478888077	0.547926547870591	0.293928619335918	0.821889821805886	0.623541639073165	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Bacteroides ovatus	0.0186923809948013	-0.337197821115987	0.946366020852534	1.10009822038857	0.0197517457124699	-0.306516104531907	0.98518739462007	0.774504335527739	0.999457117939859	0.861795807662828	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Bacteroides stercoris	0.665681416939145	-1.63117589300467	1.80093995591412	2.00211890323489	0.369629989469171	-0.814724785011086	0.730395311019467	0.4609553275362	0.916248891271605	0.695208055074133	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Alistipes putredinis	0.259287778308669	-0.81838861574372	1.67472470411676	2.02179331213684	0.154824119851636	-0.404783521060698	0.884458161656165	0.706348450202209	0.985958137628891	0.839621742693191	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Alistipes onderdonkii	1.94537198335887	-4.19055702584412	0.303218182303308	1.50783436560776	6.41574976995582	-2.77918922756151	0.00303321568275327	0.0498598343284072	0.0955462940067281	0.320896468175934	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Alistipes communis	1.07642015563928	-2.45265337040494	0.464817294705926	0.575879807891614	2.31579196363658	-4.25896747341166	0.0815122098022534	0.0130643442772378	0.285292734307887	0.320896468175934	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Alistipes finegoldii	-0.0761130653026498	-0.147586928521083	0.616564526585472	0.791024946745512	-0.123447039232314	-0.186576831904348	0.907707491785328	0.861073018067012	0.985958137628891	0.935303450658996	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Alistipes ihumii	1.41028636121608	-2.76332051580988	0.307903601768811	0.704006099649104	4.58028536566126	-3.92513717876478	0.0195375862788133	0.0294248105982599	0.166884398996386	0.320896468175934	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Alistipes senegalensis	0.475197428464173	-1.20483896122337	0.207173444439821	0.425812714907906	2.29371785437591	-2.82950442539967	0.105595245211956	0.0662167315283673	0.317275521079481	0.320896468175934	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Alistipes indistinctus	0.119068664119133	-0.611291020648303	0.30002939103827	1.03693667450616	0.396856666965489	-0.589516250777254	0.718019419603012	0.596967863595209	0.916248891271605	0.800190966095706	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Alistipes shahii	0.384845582420089	-1.06950422396656	0.859730433838902	1.05682453604023	0.447635174087837	-1.01199791213576	0.677588983533185	0.36878081265011	0.916248891271605	0.625977182742121	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Parabacteroides distasonis	-0.00919890184185115	-0.281415255442681	0.559555023085153	0.682107779522214	-0.0164396734232359	-0.412567139521265	0.987670939107262	0.701078226640026	0.999457117939859	0.839621742693191	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Parabacteroides merdae	0.734250550620725	-2.08810504382278	1.45845345915252	1.74503640216073	0.503444622118682	-1.1965968396059	0.649292674663166	0.317406328974745	0.909009744528433	0.623541639073165	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Barnesiella intestinihominis	0.619986683436981	-1.53978642600035	0.281702815359759	0.477646784812886	2.20085369982974	-3.22369264267851	0.0925645338171537	0.0321674996907844	0.306924506867404	0.320896468175934	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Butyricimonas virosa	1.08520207091725	-2.80316389650453	0.274502029156966	0.662382584229796	3.95334808361911	-4.23194081976655	0.0584319888850975	0.0515567752506373	0.262943949982939	0.320896468175934	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Odoribacter splanchnicus	0.239201652962646	-0.778216365051676	0.608324588763024	0.784902141649415	0.393213848956923	-0.991482025283191	0.714219010720195	0.377573538796835	0.916248891271605	0.625977182742121	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Segatella copri	-1.12846057580189	1.9571080924774	2.09370505918114	2.77471005023602	-0.538977813925346	0.705337875685757	0.618500092275558	0.519507495575068	0.885579677576367	0.743840277755211	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Haemophilus parainfluenzae	-0.641529780777735	0.656373054179811	0.222917329132568	0.561171802787863	-2.8778820528404	1.16964724691974	0.0636389879670781	0.326617049038324	0.265224268209466	0.623541639073165	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Bilophila wadsworthia	0.634031914562517	-1.46956310472061	0.516028039189804	0.672056923851411	1.22867725474373	-2.18666462998233	0.306785993951271	0.11661812701036	0.603984925591565	0.421239600714334	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Faecalibacterium prausnitzii	-0.472814178034834	0.645815296943286	1.45925110896899	1.56842044617791	-0.324011525589241	0.411761590150828	0.762163868358135	0.701622722574111	0.916248891271605	0.839621742693191	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Faecalibacterium sp. I4-3-84	0.489958259077525	-1.22944034557896	0.408959775058379	0.747334133646178	1.19805978230398	-1.64510128766717	0.316913941161641	0.198498884242498	0.605017524035861	0.568428623058063	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Faecalibacterium sp. IP-3-29	-0.329916550265607	0.13701766999293	0.267416592030675	0.989664071905805	-1.23371757810661	0.138448665443693	0.305150788374637	0.898656703307305	0.603984925591565	0.959582581497631	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Faecalibacterium taiwanense	0.649877590058239	-1.49597256388015	0.737542008692524	1.05623922340718	0.881139762073089	-1.41631983619628	0.443123624937034	0.251658760211598	0.781764599991679	0.623541639073165	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Faecalibacterium duncaniae	-0.660646555695369	0.899269162134719	0.233816248627038	0.679667787324779	-2.82549463339124	1.32310104863776	0.105758507026494	0.316807880339514	0.317275521079481	0.623541639073165	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Lawsonibacter asaccharolyticus	1.08302348857775	-2.46586003628189	0.842507943479568	0.953978466025754	1.28547570021103	-2.58481729315609	0.26800281970583	0.0610164567189732	0.562805921382242	0.320896468175934	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Flavonifractor plautii	0.767305072754668	-1.83442320463572	0.911917571214696	0.99124006401955	0.841419331061468	-1.85063464565486	0.447475102412158	0.137888044994312	0.781764599991679	0.457207728139036	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Ruthenibacterium lactatiformans	0.150101515157136	-0.600016089440655	0.685310626574599	1.03514113736704	0.219026977456035	-0.579646646994286	0.837351126639652	0.593233307603682	0.97690964774626	0.800190966095706	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Dysosmobacter welbionis	0.110619889481259	-0.521052838088901	0.853153619431077	0.943892451894458	0.129659989668713	-0.55202564343333	0.903094106185887	0.610321289606307	0.985958137628891	0.801046692608278	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Hominenteromicrobium mulieris	1.16338589618621	-2.95953154704246	0.186332157046886	0.607764972544729	6.2436130973006	-4.86953292923548	0.0247057234408388	0.0396790277653212	0.166884398996386	0.320896468175934	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Pusillibacter faecalis	0.694150474351826	-1.56976070436946	0.443696161541924	0.7290658623642	1.56447257046247	-2.15311233923238	0.215665644426376	0.120354171632667	0.543477423954467	0.421239600714334	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Vescimonas coprocola	0.266576364436209	-0.857137187843429	0.363148400637484	0.818906276745346	0.73407004951213	-1.04668533162309	0.516074432805579	0.372144977501755	0.812817231668786	0.625977182742121	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Ruminococcus bicirculans (ex Wegman et al. 2014)	-2.03597206142697	2.98044352192853	0.466363134097454	0.624710200402946	-4.36563680224671	4.77092181303603	0.0222241492161968	0.0174948899068778	0.166884398996386	0.320896468175934	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Intestinimonas butyriciproducens	0.767069099063469	-1.69129174555553	0.194298740645399	0.534515270849764	3.94788507900519	-3.16415982440827	0.0289848840130074	0.0507082514686329	0.166884398996386	0.320896468175934	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Clostridium sp. M62/1	-1.09483182978521	1.55690390490038	0.208635222067163	1.26279500512137	-5.24758868103662	1.232903122507	0.034448994121819	0.342865105065589	0.166945125359585	0.625977182742121	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Agathobacter rectalis	-0.387959859171231	0.476106659216078	1.24450713509722	1.37329245652409	-0.311737754031376	0.346689925335454	0.770812559323731	0.746294477640768	0.916248891271605	0.861795807662828	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Lachnospira eligens	0.552654206210358	-1.33393359080034	0.202511915468289	1.0932288556552	2.72899599479072	-1.22017780988857	0.0720015345240075	0.309563843540172	0.266829216177204	0.623541639073165	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
