name	taxonomy_id	taxonomy_lvl	SRR8146935.bracken_num	SRR8146935.bracken_frac	SRR8146936.bracken_num	SRR8146936.bracken_frac	SRR8146938.bracken_num	SRR8146938.bracken_frac	SRR8146944.bracken_num	SRR8146944.bracken_frac	SRR8146951.bracken_num	SRR8146951.bracken_frac	SRR8146952.bracken_num	SRR8146952.bracken_frac
Phocaeicola vulgatus	821	S	35944	0.09980	30952	0.07184	13765	0.04393	6761	0.01818	15583	0.02538	14530	0.03323
Phocaeicola dorei	357276	S	12045	0.03345	652	0.00151	2723	0.00869	5438	0.01462	7214	0.01175	14369	0.03286
Bacteroides eggerthii	28111	S	10952	0.03041	0	0.00000	14462	0.04616	0	0.00000	0	0.00000	0	0.00000
Bacteroides uniformis	820	S	17088	0.04745	6457	0.01499	26012	0.08302	29860	0.08030	6715	0.01094	18362	0.04199
Bacteroides thetaiotaomicron	818	S	3964	0.01101	39	0.00009	329	0.00105	123	0.00033	917	0.00149	5335	0.01220
Bacteroides caccae	47678	S	1447	0.00402	5119	0.01188	3448	0.01100	1297	0.00349	1146	0.00187	1950	0.00446
Bacteroides fragilis	817	S	1748	0.00485	1970	0.00457	121	0.00039	320	0.00086	1684	0.00274	964	0.00220
Bacteroides xylanisolvens	371601	S	4282	0.01189	4910	0.01140	321	0.00102	642	0.00173	127	0.00021	3258	0.00745
Bacteroides sp. DH3716P	2847299	S	2135	0.00593	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteroides ovatus	28116	S	305	0.00085	1180	0.00274	11291	0.03604	2779	0.00747	678	0.00110	2413	0.00552
Bacteroides pyogenes	310300	S	27	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteroides salyersiae	291644	S	30	0.00008	0	0.00000	0	0.00000	0	0.00000	1003	0.00163	3091	0.00707
Bacteroides stercoris	46506	S	50	0.00014	19503	0.04526	23365	0.07457	999	0.00269	129	0.00021	4077	0.00932
Alistipes putredinis	28117	S	53105	0.14746	57	0.00013	14831	0.04734	10396	0.02796	4421	0.00720	258	0.00059
Alistipes onderdonkii	328813	S	33799	0.09385	20696	0.04803	15752	0.05027	1772	0.00477	18	0.00003	3687	0.00843
Alistipes communis	2585118	S	8136	0.02259	1097	0.00255	4692	0.01498	342	0.00092	470	0.00077	511	0.00117
Alistipes finegoldii	214856	S	6057	0.01682	550	0.00128	856	0.00273	2722	0.00732	1643	0.00268	1260	0.00288
Alistipes ihumii	1470347	S	2101	0.00583	0	0.00000	866	0.00276	192	0.00052	39	0.00006	161	0.00037
Alistipes dispar	2585119	S	1592	0.00442	744	0.00173	391	0.00125	504	0.00136	0	0.00000	0	0.00000
Alistipes senegalensis	1288121	S	695	0.00193	0	0.00000	959	0.00306	254	0.00068	311	0.00051	363	0.00083
